AID,Sex,n_obs,model_y0free,AIC_free,A_free,k_free,t0_free,model_y0fixed,AIC_fixed,A_fixed,k_fixed,y0_fixed
80.0,F,4,gompertz,27.13126227070635,733191.1558912472,0.000101740349591003,19967.03749473701,gompertz_fixed_y0,27.777183440458874,394.97608956018763,0.04445041753447106,180.00999999996955
148.0,F,5,gompertz,33.97614098259858,4431619.057047892,0.0003896344962924389,5782.574495619653,gompertz_fixed_y0,39.87486769318666,377.1269554598904,1.3033627429822543,180.00999987760966
166.0,F,4,gompertz,30.531114011870102,1483186.2366105784,0.00044191043396621155,4838.930864519111,gompertz_fixed_y0,30.60278360437538,471.68717696272836,0.024460723339427823,180.00999999997057
168.0,F,4,gompertz,25.65512721175445,6163219.122509465,6.704334414665871e-05,33991.20816028261,gompertz_fixed_y0,26.763227609747243,381.81467263092577,0.05066073733616408,180.00999999999996
286.0,F,5,gompertz,46.442293187676476,394.60001557154135,53.63475803506206,-158.52330603653834,gompertz_fixed_y0,46.44229318836602,394.599329652058,0.5126159517721927,180.00096002959023
287.0,F,4,gompertz,20.25530807022175,459.19604217735684,0.028601526975406376,-24.683564907472604,gompertz_fixed_y0,27.641458683863288,393.45637709390917,0.18761181980235447,180.00999999991384
290.0,F,4,gompertz,28.091185810856313,2481405.023868778,0.0005671151124519338,3874.8740032638507,gompertz_fixed_y0,32.34995028316347,335.30011120900093,2.89829690562061,180.00999844443243
291.0,F,7,gompertz,44.24526201686126,405.991687606845,0.12298142994610092,47.23368133786159,gompertz_fixed_y0,45.597789281700344,427.7282054857067,0.028166470694902843,179.990000003375
292.0,F,5,gompertz,25.738649299788246,453.01994394641974,4.117751158610103,-12.363417080585906,gompertz_fixed_y0,25.38565709927498,456.51741344534975,0.07337414101089408,179.99000000000038
293.0,F,4,gompertz,30.48570349428902,9363340.596306428,0.0005752456310105847,4081.1247064408753,gompertz_fixed_y0,30.65978427987611,664.9456729144227,0.01400520396415339,180.00999999999993
299.0,F,7,gompertz,42.97688430391393,420.27629457745724,0.07075581883282044,-10.721923104146931,gompertz_fixed_y0,54.4638762573009,402.14345203601994,0.16496053274094602,180.00999999999996
300.0,M,5,gompertz,32.92169981029762,5241393.605163929,0.0003363903717181776,6727.770241027952,gompertz_fixed_y0,33.66005995621323,524.8495267575214,0.02567853707214799,180.00999999999848
301.0,F,4,gompertz,30.001452504262524,429.4488878452219,0.1769340214713924,50.476199392366965,gompertz_fixed_y0,30.376136823981827,439.133330455309,0.03413640673410928,179.9900000000002
303.0,F,5,gompertz,20.375844401267585,1218707.6988605207,7.720317584317871e-05,27061.678846794268,gompertz_fixed_y0,21.052102141326422,402.21551919306864,0.054751079948370016,180.0099999999978
306.0,F,4,gompertz,36.23356880973813,427.34999762171043,0.6486152056348303,11.334842203782168,gompertz_fixed_y0,36.32831066235343,426.609658765548,0.13204659943821698,179.99000000220425
308.0,F,7,gompertz,55.268556606755915,425.7916664086573,4.542231177357915,59.60858411385726,gompertz_fixed_y0,57.96921279636561,416.335714289932,0.39297390628962925,180.00083773126178
309.0,F,5,gompertz,19.341138534575173,435.06000000000154,1.9054542976591071,18.195423092959743,gompertz_fixed_y0,19.341138535766106,435.05994140553037,1.029184767727342,180.00038296144956
310.0,F,4,gompertz,31.50035054910329,406.3250000799593,0.8430826258833507,-7.662857476930668,gompertz_fixed_y0,27.489410464619752,476.5407607313296,0.021646662112676702,179.99000000000015
314.0,F,7,gompertz,64.66877905226815,4411393.181773502,0.0007287909818634161,3125.8193276668867,gompertz_fixed_y0,64.93097471041803,1001.5635627213505,0.009298245952614284,180.00999999999928
318.0,F,5,gompertz,38.01120712260003,426.6003254046291,2.742722554365486,59.14314542824883,gompertz_fixed_y0,39.69073494740262,418.874585313021,0.1397127215930257,179.9989621610223
319.0,F,4,gompertz,40.95795264941599,84636.42832529098,0.0001855715582652394,9184.74968805603,gompertz_fixed_y0,40.9885793929278,374.4167465406439,0.6417894714105855,180.00753141844845
320.0,F,4,gompertz,38.02874314150637,603.700227855866,0.02565185723385519,-14.5876815760137,gompertz_fixed_y0,38.17027263702326,500.01034724571673,0.07907654813890953,180.0099999988591
321.0,F,4,gompertz,31.10171060343122,459.4172133387637,0.13903560960084838,41.870971120931266,gompertz_fixed_y0,31.55226013005729,466.0632018007995,0.04190550898149613,179.99000000055474
323.0,F,6,gompertz,21.687067010868944,402233.67864782584,0.00010268581923808764,18896.275005856252,gompertz_fixed_y0,23.200945301567646,411.29883871664623,0.05217085168764246,180.00999999999098
326.0,F,5,gompertz,41.82434657370625,375139.7869683265,0.0009099194175763381,2176.1214351345943,gompertz_fixed_y0,41.8912948668786,631.6822438000858,0.01613993780230798,180.00999999999482
327.0,F,5,gompertz,38.35435045127212,410.1193143130174,14.106353259636562,29.3283987193525,gompertz_fixed_y0,38.354350449460085,410.1200111828518,0.3716118330485872,180.00146029471873
330.0,F,4,gompertz,32.14913805560444,460.9717089876604,0.27209019132275586,53.14282994876677,gompertz_fixed_y0,33.67275464663513,587.6008645454579,0.019696611754176117,179.99000000000004
338.0,M,4,gompertz,32.38183769822484,505.3994657260413,0.8179119070951737,-174.88976949160983,gompertz_fixed_y0,32.38183769666452,505.3999992300824,1.2755304984063982,180.00165897637055
345.0,F,4,gompertz,26.95061531183537,414.28749537722564,4.060573826092251,49.36421390661067,gompertz_fixed_y0,26.788187386657544,417.1307146413685,0.06946590774951635,179.99000000000004
355.0,M,6,gompertz,33.2849958417341,453.1182036269916,0.17438613105665632,50.99904304817204,gompertz_fixed_y0,39.013312137260826,517.1219073174359,0.021605211423222744,179.99000000000007
364.0,F,4,gompertz,32.807334678145736,380.27578068919604,20.77615789079366,47.95519803990967,gompertz_fixed_y0,32.807334675176726,380.27507320252727,0.5962616266663284,180.00355954335632
410.0,F,5,gompertz,48.91372310585923,400.3499972438117,2.1437978000031275,17.300619891560792,gompertz_fixed_y0,49.36803144626902,400.5098091210784,0.11637018111246013,179.99000000000373
413.0,F,5,gompertz,43.57211729503509,388.17591521769634,125.61847519044944,-8.078764828843507,gompertz_fixed_y0,43.57211725038986,388.1794460943795,2.649068317861556,180.00541224050124
661.0,F,5,gompertz,14.96712506711877,415.95000020290615,3.9414764049661337,75.29496569859789,gompertz_fixed_y0,35.82596768821432,425.8201588871644,0.027829194176058284,179.99000000004668
735.0,F,4,gompertz,28.40473305336586,102162.26420648121,0.00011802668126603405,14624.830395836425,gompertz_fixed_y0,28.62696219396948,390.9368586779236,0.5124512326246957,180.00965061157217
758.0,F,4,gompertz,19.300826634552344,439.7985764578611,0.005820238287850491,-383.01469762590597,gompertz_fixed_y0,19.591080942034417,417.16340687456614,0.05640526117879752,180.00999999946148
777.0,F,5,gompertz,33.435718219695175,420.92156634262045,0.09622545890853483,40.243768152346874,gompertz_fixed_y0,34.912247658971445,429.20709578361544,0.03158936719149604,179.99000000000004
811.0,F,6,gompertz,36.670541105235586,398.4460929686047,0.28905533843045816,50.82667500091784,gompertz_fixed_y0,37.82436547787305,402.9042593703541,0.04264240848948507,179.9900000119444
871.0,F,4,gompertz,33.29223783063756,380.83750000000003,0.4349564430160254,-293.52300325781806,gompertz_fixed_y0,33.2922378343577,380.8384243955812,4.37550316913878,180.003868668482
873.0,M,4,gompertz,31.201673906130257,10407.769907226982,0.00016707153517916067,6847.568192313636,gompertz_fixed_y0,31.241068324130215,468.6250681554362,0.8400034592465493,180.00107030998592
876.0,F,4,gompertz,15.46945390960234,13359854.788753761,7.302379061909249e-05,32086.648474319984,gompertz_fixed_y0,17.598181344297885,433.08444285709515,0.05392680922404382,180.00999999840047
894.0,M,4,gompertz,36.374064754239534,522.327440909452,0.4478705853296041,-128.23936064874596,gompertz_fixed_y0,36.374064742750406,522.3244942812361,0.905730603563583,180.00335903096757
1014.0,F,4,gompertz,34.05375544758597,464.17611656087377,0.16887318557701295,52.77237183293879,gompertz_fixed_y0,35.63736032991318,638.1347805790523,0.015015671463179706,179.99000000000004
1025.0,F,4,gompertz,19.569157259918374,1100.86914436921,3.617806910933321e-05,525.4364461882834,gompertz_fixed_y0,19.577110653451214,398.5748136279022,1.858906409794538,180.0028317975063
1030.0,M,6,gompertz,33.87338046607219,451.36000474580845,1.9453206139118646,58.682196196448956,gompertz_fixed_y0,35.743190223522184,464.69623500092155,0.040559809127104024,179.99000000000004
1218.0,F,4,gompertz,28.5945146716078,383.27504345874434,79.48009862335562,-12.093531406602896,gompertz_fixed_y0,28.594514675085907,383.27541153604966,1.5771385690035387,180.00686245212094
1227.0,F,4,gompertz,36.051229254675505,467.65000001372516,2.86362095313838,-643.9859074591867,gompertz_fixed_y0,36.051229277991354,467.64673275958035,0.6544258268361991,180.00485762508376
1382.0,M,4,gompertz,20.458226939825273,18079.44653648072,0.002846737514357594,514.5512161811844,gompertz_fixed_y0,32.6736976214323,367.97905489112355,0.08704843768707853,180.00999999999996
1401.0,M,4,gompertz,29.210910447840334,465.2625000000031,0.3509987801409784,1.961497685450352,gompertz_fixed_y0,21.377851681264346,586.9344851058538,0.014722584899459977,179.99000000000004
1403.0,F,4,gompertz,19.048949244866822,431.0611256119812,0.035064150694699925,-16.09160232674223,gompertz_fixed_y0,28.458996687395956,387.08523150225716,0.14181024341835705,180.00999999999888
1412.0,M,5,gompertz,45.2236307238235,1657249.8544653398,0.00045302820549701037,4716.3185678635255,gompertz_fixed_y0,45.32398441747604,544.152166160309,0.026130658943419,180.00999999994568
1850.0,F,4,gompertz,33.61606067540383,429.2256075823121,0.9335755317475887,-168.94301270943222,gompertz_fixed_y0,33.61606067621244,429.225755349463,15.308913059188834,180.00489212094612
2025.0,F,4,gompertz,20.0735246085357,356.9577231516803,0.08088265805327072,-10.982776786590884,gompertz_fixed_y0,30.390937994445306,335.7374940693489,0.23733069004648144,180.00999999999996
2079.0,M,4,gompertz,21.267173378657954,402.3341373437124,0.205601263191196,0.632110218198384,gompertz_fixed_y0,21.5097832149783,403.79595072629456,0.16879625835109838,179.99000000000004
2400.0,F,4,gompertz,25.056958086794474,369.90539562742424,0.13925803130979342,3.0314659607585446,gompertz_fixed_y0,25.184122274848438,427.1440497771739,0.06057155670135316,179.99000000000174
